Ранг ГЛ;Ранг РУ;Уровень;По-английски;По-французски;Инфинитив;Подробности;Разговорный;Неправильный;Группа ;Суффикс спряжения;Совершенный вид;Пара аспектов;Возвратный;Действительный;Я;Ты;Он/Она/Оно;Мы;Вы;Они;Повелительное накл. 1;Повелительное накл. 2;Деепричастие Наст. время;Деепричастие Прош. время;Действит. причастие Наст. время;Действит. причастие Прош. время;Страдат. причастие Наст. время;Страдат. причастие Прош. время;Скрытый1-unwantedToExport;Скрытый2-genericFirstTrans
10000;10000;B2;flash;briller;сверкнуть;;;;;;совер.;сверкать/сверкнуть;;действит.;сверкну;сверкнёшь;сверкнёт;сверкнёте;сверкнём;сверкнут;сверкни;сверкните;;сверкнув, *сверкнувши;;сверкнувший;;;;
849;4890;B2;"let go; let off";"relâcher; laisser partir";отпускать;;;;;;несовер.;отпускать/отпустить;;;отпускаю;отпускаешь;отпускает;отпускаете;отпускаем;отпускают;отпускай;отпускайте;отпуская;отпускав;отпускающий;отпускавший;отпускаемый;;;
10000;10000;B2;"let go; let off";"relâcher; laisser partir";отпустить;;;;;;совер.;отпускать/отпустить;;;отпущу;отпустишь;отпустит;отпустите;отпустим;отпустят;отпусти;отпустите;;отпустив, *отпустивши;;отпустивший;;отпущенный;;
850;4895;B2;put in, contribute;mettre, contribuer;вкладывать;;;;;;несовер.;вкладывать/вложить;;;вкладываю;вкладываешь;вкладывает;вкладываете;вкладываем;вкладывают;вкладывай;вкладывайте;вкладывая;вкладывав;вкладывающий;вкладывавший;вкладываемый;;;x
10000;10000;B2;put in, contribute;mettre, contribuer;вложить;;;неправ.;;;совер.;вкладывать/вложить;;;вложу;вложишь;вложит;вложите;вложим;вложат;вложи;вложите;;вложив, *вложивши;;вложивший;;вложенный;;x
851;4897;B2;fix;fixer;зафиксировать;;;;;;совер.;;;;зафиксирую;зафиксируешь;зафиксирует;зафиксируете;зафиксируем;зафиксируют;зафиксируй;зафиксируйте;;зафиксировав;;зафиксировавший;;зафиксированный;;
852;4898;B2;"gladden; please";"réjouir; causer de la joie à";радовать;;;;;;несовер.;радовать/обрадовать;;;радую;радуешь;радует;радуете;радуем;радуют;радуй;радуйте;радуя;радовав;радующий;радовавший;радуемый;;;
10000;10000;B2;"gladden; please";"réjouir; causer de la joie à";обрадовать;;;;;;совер.;радовать/обрадовать;;;обрадую;обрадуешь;обрадует;обрадуете;обрадуем;обрадуют;обрадуй;обрадуйте;;обрадовав, *обрадовавши;;обрадовавший;;обрадованный;;
853;4906;B2;be felt;ressentir;чувствоваться;;;;;;несовер.;чувствоваться/почувствоваться;возврат.;;чувствуюсь;чувствуешься;чувствуется;чувствуетесь;чувствуемся;чувствуются;чувствуйся;чувствуйтесь;чувствуясь;чувствовавшись;чувствующийся;чувствовавшийся;чувствующийся;чувствовавшийся;;
854;4911;B2;"annihilate; destroy; do away (with)";faire l’objet de;уничтожать;;;;;;несовер.;уничтожать/уничтожить;;;уничтожаю;уничтожаешь;уничтожает;уничтожаете;уничтожаем;уничтожают;уничтожай;уничтожайте;уничтожая;уничтожав;уничтожающий;уничтожавший;уничтожаемый;;;
10000;10000;B2;"annihilate; destroy; do away (with)";"anéantir; détruire";уничтожить;;;неправ.;;;совер.;уничтожать/уничтожить;;;уничтожу;уничтожишь;уничтожит;уничтожите;уничтожим;уничтожат;уничтожь;уничтожьте;;уничтожив, *уничтоживши;;уничтоживший;;уничтоженный;;
855;4921;B2;"get to know; familiarize oneself (with)";"prendre connaissance; se mettre au courant de; être mis au fait de";ознакомиться;;;;;;совер.;ознакомляться/ознакомиться;возврат.;;ознакомлюсь;ознакомишься;ознакомится;ознакомитесь;ознакомимся;ознакомятся;ознакомься;ознакомьтесь;;ознакомившись;;ознакомившийся;;;;
10000;10000;B2;"get to know; familiarize oneself (with)";"prendre connaissance; se mettre au courant de; être mis au fait de";ознакомляться;;;;;;несовер.;ознакомляться/ознакомиться;возврат.;;ознакомляюсь;ознакомляешься;ознакомляется;ознакомляетесь;ознакомляемся;ознакомляются;ознакомляйся;ознакомляйтесь;ознакомляясь;ознакомлявшись;ознакомляющийся;ознакомлявшийся;ознакомляющийся;ознакомлявшийся;;
856;4925;B2;"break, strive for; burst";"se déchirer, avoir hâte de; (se) rompre";рваться;;;;;;несовер.;рваться/порваться;возврат.;;рвусь;рвёшься;рвётся;рвётесь;рвёмся;рвутся;рвись;рвитесь;;рвавшись;рвущийся;рвавшийся;рвущийся;рвавшийся;;
857;4926;B2;cost, get by with;coûter, traiter qqun d’une façon;обходиться;;;;;;несовер.;обходиться/обойтись;возврат.;;обхожусь;обходишься;обходится;обходитесь;обходимся;обходятся;;;;;обходящийся;обходившийся;обходящийся;обходившийся;;
10000;10000;B2;cost, get by with;coûter, traiter qqun d’une façon;обойтись;;;неправ.;;;совер.;обходиться/обойтись;возврат.;;обойдусь;обойдёшься;обойдётся;обойдётесь;обойдёмся;обойдутся;обойдись;обойдитесь;ся;обойдясь;;обошедшийся;;обойдённыйся;;
858;4928;B2;"be fit (for); serve (for)";"convenir; être bon à; pouvoir servir";годиться;;;;;;несовер.;годиться/пригодиться;возврат.;;гожусь;годишься;годится;годитесь;годимся;годятся;годись;годитесь;годясь;годившись;годящийся;годившийся;годящийся;годившийся;;
859;4930;B2;"teach (smb. smth.); instruct";former qqun à;обучать;;;;;;несовер.;обучать/обучить;;;обучаю;обучаешь;обучает;обучаете;обучаем;обучают;обучай;обучайте;обучая;обучав;обучающий;обучавший;обучаемый;;;
10000;10000;B2;"teach (smb. smth.); instruct";former qqun à;обучить;;;;;;совер.;обучать/обучить;;;обучу;обучишь;обучит;обучите;обучим;обучат;обучи;обучите;;обучив, *обучивши;;обучивший;;обученный;;
860;4936;B2;"convince (of); try to convince (of)";"convaincre de; engager à";убеждать;;;;;;несовер.;убеждать/убедить;;;убеждаю;убеждаешь;убеждает;убеждаете;убеждаем;убеждают;убеждай;убеждайте;убеждая;убеждав;убеждающий;убеждавший;убеждаемый;;;
10000;10000;B2;"convince (of); convict (of)";"convaincre de; persuader de à";убедить;;;;;;совер.;убеждать/убедить;;;*убежу;убедишь;убедит;убедите;убедим;убедят;убеди;убедите;;убедив, *убедивши;;убедивший;;убеждённый;;
861;4938;B2;"let pass / in / through; admit";"laisser passer; faire passer";пропускать;;;;;;несовер.;пропускать/пропустить;;действит.;пропускаю;пропускаешь;пропускает;пропускаете;пропускаем;пропускают;пропускай;пропускайте;пропуская;пропускав;пропускающий;пропускавший;пропускаемый;;;
10000;10000;B2;"let pass / in / through; admit";"laisser passer; faire passer";пропустить;;;;;;совер.;пропускать/пропустить;;;пропущу;пропустишь;пропустит;пропустите;пропустим;пропустят;пропусти;пропустите;;пропустив, *пропустивши;;пропустивший;;пропущенный;;
862;4943;B2;"to reach; to follow";"s’étirer; s’étendre";потянуться;;;;;;совер.;тянуться/потянуться;возврат.;;потянусь;потянешься;потянется;потянетесь;потянемся;потянутся;потянись;потянитесь;;потянувшись;;потянувшийся;;;;
863;4946;B2;wait (for, till);"attendre; voir";дожидаться;;;;;;несовер.;дожидаться/дождаться;возврат.;;дожидаюсь;дожидаешься;дожидается;дожидаетесь;дожидаемся;дожидаются;дожидайся;дожидайтесь;дожидаясь;дожидавшись;дожидающийся;дожидавшийся;дожидающийся;дожидавшийся;;
10000;10000;B2;wait (for, till);"attendre; voir";дождаться;;;;;;совер.;дожидаться/дождаться;возврат.;;дождусь;дождёшься;дождётся;дождётесь;дождёмся;дождутся;дождись;дождитесь;;дождавшись;;дождавшийся;;;;
864;4948;B2;whisper;"chuchoter; murmurer";шептать;;;;;;несовер.;шептать/прошептать;;;шепчу;шепчешь;шепчет;шепчете;шепчем;шепчут;шепчи;шепчите;шепча;шептав;шепчущий;шептавший;;шёптанный;;
10000;10000;B2;whisper;"chuchoter; murmurer";прошептать;;;;;;совер.;шептать/прошептать;;;прошепчу;прошепчешь;прошепчет;прошепчете;прошепчем;прошепчут;прошепчи;прошепчите;;прошептав, *прошептавши;;прошептавший;;;;
865;4958;B2;"change (into); change (from)";"transformer; changer";превращать;;;;;;несовер.;превращать/превратить;;;превращаю;превращаешь;превращает;превращаете;превращаем;превращают;превращай;превращайте;превращая;превращав;превращающий;превращавший;превращаемый;;;
10000;10000;B2;"change (into); change (from)";"transformer; changer";превратить;;;;;;совер.;превращать/превратить;;;превращу;превратишь;превратит;превратите;превратим;превратят;преврати;превратите;;превратив, *превративши;;превративший;;превращённый;;
