Ранг ГЛ;Ранг РУ;Уровень;По-английски;По-французски;Инфинитив;Подробности;Разговорный;Неправильный;Группа ;Суффикс спряжения;Совершенный вид;Пара аспектов;Возвратный;Действительный;Я;Ты;Он/Она/Оно;Мы;Вы;Они;Повелительное накл. 1;Повелительное накл. 2;Деепричастие Наст. время;Деепричастие Прош. время;Действит. причастие Наст. время;Действит. причастие Прош. время;Страдат. причастие Наст. время;Страдат. причастие Прош. время;Скрытый1-unwantedToExport;Скрытый2-genericFirstTrans
561;3238;B1;"turn (round and round); twirl";"tourner; faire tourner";вертеть;;;;;;несовер.;;;;верчу;вертишь;вертит;вертите;вертим;вертят;верти;вертите;вертя;вертев;вертящий;вертевший;;верченный;;
562;3240;B1;entertain (to, at);"régaler; offrir";угощать;;;;;;несовер.;угощать/угостить;;;угощаю;угощаешь;угощает;угощаете;угощаем;угощают;угощай;угощайте;угощая;угощав;угощающий;угощавший;угощаемый;;;
10000;10000;B1;entertain (to, at);"régaler; offrir";угостить;;;;;;совер.;угощать/угостить;;;угощу;угостишь;угостит;угостите;угостим;угостят;угости;угостите;;угостив, *угостивши;;угостивший;;угощённый;;
563;3241;B1;be on duty;être de service;дежурить;;;;;;несовер.;;;действит.;дежурю;дежуришь;дежурит;дежурите;дежурим;дежурят;дежурь;дежурьте;дежуря;дежурив;дежурящий;дежуривший;дежурящий;дежуривший;;
564;3247;B1;give out warmth;chauffer;греть;;;;;;несовер.;;;;грею;греешь;греет;греете;греем;греют;грей;грейте;грея;грев;греющий;гревший;греемый;гретый;;
565;3249;B1;"advertise; publicize";faire de la publicité à;рекламировать;;;;;;не/совер.;;;;рекламирую;рекламируешь;рекламирует;рекламируете;рекламируем;рекламируют;рекламируй;рекламируйте;рекламируя;рекламировав;рекламирующий;рекламировавший;рекламируемый;рекламированный;;
566;3250;B1;"save oneself; escape";"se sauver; échapper à";спасаться;;;;;;несовер.;спасаться/спастись;возврат.;;спасаюсь;спасаешься;спасается;спасаетесь;спасаемся;спасаются;спасайся;спасайтесь;спасаясь;спасавшись;спасающийся;спасавшийся;спасающийся;спасавшийся;;
10000;10000;B1;"save oneself; escape";"se sauver; échapper à";спастись;;;неправ.;;;совер.;спасаться/спастись;возврат.;;спасусь;спасёшься;спасётся;спасётесь;спасёмся;спасутся;спасись;спаситесь;;спасшись;;спасшийся;;;;
567;3252;B1;"exclaim; cry";"s'écrier; s'exclamer";восклицать;;;;;;несовер.;восклицать/воскликнуть;;действит.;восклицаю;восклицаешь;восклицает;восклицаете;восклицаем;восклицают;восклицай;восклицайте;восклицая;восклицав;восклицающий;восклицавший;восклицающий;восклицавший;;
10000;10000;B1;"exclaim; cry";"s'écrier; s'exclamer";воскликнуть;;;;;;совер.;восклицать/воскликнуть;;действит.;воскликну;воскликнешь;воскликнет;воскликнете;воскликнем;воскликнут;воскликни;воскликните;;воскликнув, *воскликнувши;;воскликнувший;;;;
568;3258;B1;be jealous (of);être jaloux (de);ревновать;;;;;;несовер.;;;;ревную;ревнуешь;ревнует;ревнуете;ревнуем;ревнуют;ревнуй;ревнуйте;ревнуя;ревновав;ревнующий;ревновавший;ревнуемый;;;
569;3259;B1;"enroll (in); register (in)";"s'inscrire; se faire inscrire";записываться;;;;;;несовер.;записываться/записаться;возврат.;;записываюсь;записываешься;записывается;записываетесь;записываемся;записываются;записывайся;записывайтесь;записываясь;записывавшись;записывающийся;записывавшийся;записывающийся;записывавшийся;;
10000;10000;B1;"enroll (in); register (in)";"s'inscrire; se faire inscrire";записаться;;;;;;совер.;записываться/записаться;возврат.;;запишусь;запишешься;запишется;запишетесь;запишемся;запишутся;запишись;запишитесь;;записавшись;;записавшийся;;;;
570;3260;B1;"clean; clear";nettoyer;очищать;;;;;;несовер.;очищать/очистить;;;очищаю;очищаешь;очищает;очищаете;очищаем;очищают;очищай;очищайте;очищая;очищав;очищающий;очищавший;очищаемый;;;
10000;10000;B1;"clean; clear";nettoyer;очистить;;;;;;совер.;очищать/очистить;;;очищу;очистишь;очистит;очистите;очистим;очистят;очисть, очисти;очистьте, очистите;;очистив, *очистивши;;очистивший;;очищенный;;
571;3263;B1;abolish;"supprimer; annuler";отменять;;;;;;несовер.;отменять/отменить;;;отменяю;отменяешь;отменяет;отменяете;отменяем;отменяют;отменяй;отменяйте;отменяя;отменяв;отменяющий;отменявший;отменяемый;;;
10000;10000;B1;abolish;"supprimer; annuler";отменить;;;;;;совер.;отменять/отменить;;;отменю;отменишь;отменит;отмените;отменим;отменят;отмени;отмените;;отменив, *отменивши;;отменивший;;отменённый;;
572;3273;B1;"repair; mend";réparer;чинить;;;;;;несовер.;чинить/починить;;;чиню;чинишь;чинит;чините;чиним;чинят;чини;чините;чиня;чинив;чинящий;чинивший;чинимый;чинённый;;
10000;10000;B1;"repair; mend";réparer;починить;;;;;;совер.;чинить/починить;;;починю;починишь;починит;почините;починим;починят;почини;почините;;починив, *починивши;;починивший;;починенный;;
573;3276;B1;"bark; bay";aboyer;лаять;;;;;;несовер.;;;;лаю;лаешь;лает;лаете;лаем;лают;лай;лайте;лая;лаяв;лающий;лаявший;лающий;лаявший;;
574;3278;B1;"inhale; breathe in";"aspirer; inhaler";вдыхать;;;;;;несовер.;вдыхать/вдохнуть;;;вдыхаю;вдыхаешь;вдыхает;вдыхаете;вдыхаем;вдыхают;вдыхай;вдыхайте;вдыхая;вдыхав;вдыхающий;вдыхавший;вдыхаемый;;;
10000;10000;B1;"inhale; breathe in";aspirer;вдохнуть;;;;;;совер.;вдыхать/вдохнуть;;;вдохну;вдохнёшь;вдохнёт;вдохнёте;вдохнём;вдохнут;вдохни;вдохните;;вдохнув, *вдохнувши;;вдохнувший;;*вдохнутый;;
575;3280;B1;"hunger; starve";"souffrir la faim; jeûner";голодать;;;;;;несовер.;;;действит.;голодаю;голодаешь;голодает;голодаете;голодаем;голодают;голодай;голодайте;голодая;голодав;голодающий;голодавший;голодающий;голодавший;;
576;3284;B1;"insure (against); safeguard (against)";assurer contre;застраховать;;;;;;совер.;застраховывать/застраховать;;;застрахую;застрахуешь;застрахует;застрахуете;застрахуем;застрахуют;застрахуй;застрахуйте;;застраховав;;застраховавший;;застрахованный;;
10000;10000;B1;"insure (against); safeguard (against)";assurer;застраховывать;;;;;;несовер.;застраховывать/застраховать;;;застраховываю;застраховываешь;застраховывает;застраховываете;застраховываем;застраховывают;застраховывай;застраховывайте;застраховывая;застраховывав, *застраховывавши;застраховывающий, застрахующий;застраховывавший;застраховываемый;;;
577;3285;B1;run out;"sortir en courant; se jeter dehors";выбегать;;;;;;несовер.;выбегать/выбежать;;действит.;выбегаю;выбегаешь;выбегает;выбегаете;выбегаем;выбегают;выбегай;выбегайте;;выбегав;;выбегавший;;;;
10000;10000;B1;run out;"sortir en courant; se jeter dehors";выбежать;;;;;;совер.;выбегать/выбежать;;действит.;выбегу;выбежишь;выбежит;выбежите;выбежим;выбегут;выбеги;выбегите;;выбежав, *выбежавши;;выбежавший;;;;
578;3286;B1;choose (as, for);élire;избирать;;;;;;несовер.;избирать/избрать;;;избираю;избираешь;избирает;избираете;избираем;избирают;избирай;избирайте;избирая;избирав;избирающий;избиравший;избираемый;;;
10000;10000;B1;choose (as, for);élire;избрать;;;;;;совер.;избирать/избрать;;;изберу;изберёшь;изберёт;изберёте;изберём;изберут;избери;изберите;;избрав, *избравши;;избравший;;избранный;;
579;3287;B1;"draw out; extract";"allonger; tendre";вытягивать;;;;;;несовер.;вытягивать/вытянуть;;;вытягиваю;вытягиваешь;вытягивает;вытягиваете;вытягиваем;вытягивают;вытягивай;вытягивайте;вытягивая;вытягивав;вытягивающий;вытягивавший;вытягиваемый;;;
10000;10000;B1;"draw out; extract";"allonger; tendre";вытянуть;;;;;;совер.;вытягивать/вытянуть;;;вытяну;вытянешь;вытянет;вытянете;вытянем;вытянут;вытяни;вытяните;;вытянув, *вытянувши;;вытянувший;;вытянутый;;
580;3290;B1;fall in love (with);"devenir amoureux de; tomber amoureux de";влюбляться;;;;;;несовер.;влюбляться/влюбиться;возврат.;;влюбляюсь;влюбляешься;влюбляется;влюбляетесь;влюбляемся;влюбляются;влюбляйся;влюбляйтесь;влюбляясь;влюблявшись;влюбляющийся;влюблявшийся;влюбляющийся;влюблявшийся;;
10000;10000;B1;fall in love (with);"devenir amoureux de; tomber amoureux de";влюбиться;;;;;;совер.;влюбляться/влюбиться;возврат.;;влюблюсь;влюбишься;влюбится;влюбитесь;влюбимся;влюбятся;влюбись;влюбитесь;;влюбившись;;влюбившийся;;;;
581;3293;B1;"stoop; bend";"se pencher; s'incliner";наклоняться;;;;;;несовер.;наклоняться/наклониться;возврат.;;наклоняюсь;наклоняешься;наклоняется;наклоняетесь;наклоняемся;наклоняются;наклоняйся;наклоняйтесь;наклоняясь;наклонявшись;наклоняющийся;наклонявшийся;наклоняющийся;наклонявшийся;;
10000;10000;B1;"stoop; bend";"se pencher; s'incliner";наклониться;;;;;;совер.;наклоняться/наклониться;возврат.;;наклонюсь;наклонишься;наклонится;наклонитесь;наклонимся;наклонятся;наклонись;наклонитесь;;наклонившись, наклонясь;;наклонившийся;;;;
582;3296;B1;"blow up; burst";"faire explosion; exploser";взрываться;;;;;;несовер.;взрываться/взорваться;возврат.;;;;взрывается;;;взрываются;;;;;взрывающийся;взрывавшийся;взрывающийся;взрывавшийся;;
10000;10000;B1;"blow up; burst";"faire explosion; exploser";взорваться;;;;;;совер.;взрываться/взорваться;возврат.;;взорвусь;взорвёшься, взорвешься;взорвётся, взорвется;взорвётесь, взорветесь;взорвёмся, взорвемся;взорвутся;взорвись;взорвитесь;;взорвавшись;;взорвавшийся;;;;
583;3300;B1;feel sick;безл.;тошнить;;;;;;несовер.;тошнить/затошнить;;;;;;;;;;;;;;;;;;
10000;10000;B1;feel sick;безл.;затошнить;;;;;;совер.;тошнить/затошнить;;;;;;;;;;;;;;;;;;
584;3302;B1;"calm / quiet / settle down; abate";"se tranquilliser; se rassurer";успокаиваться;;;;;;несовер.;успокаиваться/успокоиться;возврат.;;успокаиваюсь;успокаиваешься;успокаивается;успокаиваетесь;успокаиваемся;успокаиваются;успокаивайся;успокаивайтесь;успокаиваясь;успокаивавшись;успокаивающийся;успокаивавшийся;успокаивающийся;успокаивавшийся;;
10000;10000;B1;"calm / quiet / settle down; abate";"se tranquilliser; se rassurer";успокоиться;;;;;;совер.;успокаиваться/успокоиться;возврат.;;успокоюсь;успокоишься;успокоится;успокоитесь;успокоимся;успокоятся;успокойся;успокойтесь;;успокоившись;;успокоившийся;;;;
585;3305;B1;"train; coach";entraîner;тренировать;;;;;;несовер.;тренировать/натренировать;;;тренирую;тренируешь;тренирует;тренируете;тренируем;тренируют;тренируй;тренируйте;тренируя;тренировав;тренирующий;тренировавший;тренируемый;тренированный;;
10000;10000;B1;"train; coach";entraîner;натренировать;;;;;;совер.;тренировать/натренировать;;;натренирую;натренируешь;натренирует;натренируете;натренируем;натренируют;натренируй;натренируйте;;натренировав, *натренировавши;;натренировавший;;натренированный;;
586;3310;B1;"mix (up); mingle";"mêler; mélanger";смешивать;;;;;;несовер.;смешивать/смешать;;;смешиваю;смешиваешь;смешивает;смешиваете;смешиваем;смешивают;смешивай;смешивайте;смешивая;смешивав;смешивающий;смешивавший;смешиваемый;;;
10000;10000;B1;"mix (up); mingle";"mêler; mélanger";смешать;;;;;;совер.;смешивать/смешать;;;смешаю;смешаешь;смешает;смешаете;смешаем;смешают;смешай;смешайте;;смешав, *смешавши;;смешавший;;смешанный;;
587;3311;B1;relax;расслабиться;расслабляться;;;;;;несовер.;расслабляться/расслабить;возврат.;;расслабляюсь;расслабляешься;расслабляется;расслабляетесь;расслабляемся;расслабляются;расслабляйся;расслабляйтесь;расслабляясь;расслаблявшись;расслабляющийся;расслаблявшийся;расслабляющийся;расслаблявшийся;;
10000;10000;B1;"weaken; enfeeble";"affaiblir; ramollir";расслабить;;;;;;совер.;расслабляться/расслабить;;;расслаблю;расслабишь;расслабит;расслабите;расслабим;расслабят;расслабь;расслабьте;;расслабив, *расслабивши;;расслабивший;;расслабленный;;
588;3314;B1;"repair; refit";faire des réparations de;ремонтировать;;;;;;несовер.;ремонтировать/отремонтировать;;;ремонтирую;ремонтируешь;ремонтирует;ремонтируете;ремонтируем;ремонтируют;ремонтируй;ремонтируйте;ремонтируя;ремонтировав;ремонтирующий;ремонтировавший;ремонтируемый;ремонтированный;;
10000;10000;B1;"repair; refit";"réparer; faire des réparations";отремонтировать;;;;;;совер.;ремонтировать/отремонтировать;;;отремонтирую;отремонтируешь;отремонтирует;отремонтируете;отремонтируем;отремонтируют;отремонтируй;отремонтируйте;;отремонтировав, *отремонтировавши;;отремонтировавший;;отремонтированный;;
589;3319;B1;"bother; pester";"importuner; ennuyer";надоедать;;;;;;несовер.;надоедать/надоесть;;действит.;надоедаю;надоедаешь;надоедает;надоедаете;надоедаем;надоедают;надоедай;надоедайте;надоедая;надоедав;надоедающий;надоедавший;надоедающий;надоедавший;;
10000;10000;B1;"bother; pester";"importuner; ennuyer";надоесть;;;неправ.;;;совер.;надоедать/надоесть;;действит.;надоем;надоешь;надоест;надоедите;надоедим;надоедят;*надоешь;*надоешьте;;надоев, *надоевши;;надоевший;;;;
590;3324;B1;"unfold; unroll";разворотить;разворачивать;;;;;;несовер.;разворачивать/развернуть;;;разворачиваю;разворачиваешь;разворачивает;разворачиваете;разворачиваем;разворачивают;разворачивай;разворачивайте;разворачивая;разворачивав;разворачивающий;разворачивавший;разворачиваемый;;;
10000;10000;B1;"unfold; unroll";"déployer; dérouler";развернуть;;;;;;совер.;разворачивать/развернуть;;;разверну;развернёшь;развернёт;развернёте;развернём;развернут;разверни;разверните;;развернув, *развернувши;;развернувший;;развернутый, развёрнутый;;
591;3328;B1;practise;"s'employer; être employé";практиковаться;;;;;;несовер.;практиковаться/практиковать;возврат.;;практикуюсь;практикуешься;практикуется;практикуетесь;практикуемся;практикуются;практикуйся;практикуйтесь;практикуясь;практиковавшись;практикующийся;практиковавшийся;практикующийся;практиковавшийся;;
592;3332;B1;"cut; shear";"couper; tondre";стричь;;;неправ.;;;несовер.;стричь/остричь;;;стригу;стрижёшь;стрижёт;стрижёте;стрижём;стригут;стриги;стригите;;стригши;стригущий;стригший;;стриженный;;
10000;10000;B1;"cut; clip";"couper; tondre";остричь;;;неправ.;;;совер.;стричь/остричь;;;остригу;острижёшь;острижёт;острижёте;острижём;остригут;остриги;остригите;;остригши;;остригший;;остриженный;;
593;3334;B1;"break; get / be broken";"se casser; se briser";разбиваться;;;;;;несовер.;разбиваться/разбиться;возврат.;;разбиваюсь;разбиваешься;разбивается;разбиваетесь;разбиваемся;разбиваются;разбивайся;разбивайтесь;разбиваясь;разбивавшись;разбивающийся;разбивавшийся;разбивающийся;разбивавшийся;;
10000;10000;B1;"break; get / be broken";"se casser; se briser";разбиться;;;;;;совер.;разбиваться/разбиться;возврат.;;разобьюсь;разобьёшься;разобьётся;разобьётесь;разобьёмся;разобьются;разбейся;разбейтесь;;разбившись;;разбившийся;;;;
594;3337;B1;"extinguish; put / blow out";éteindre;гасить;;;;;;несовер.;гасить/погасить;;;гашу;гасишь;гасит;гасите;гасим;гасят;гаси;гасите;гася;гасив;гасящий;гасивший;гасимый;гашенный;;
10000;10000;B1;"extinguish; put / blow out";éteindre;погасить;;;;;;совер.;гасить/погасить;;;погашу;погасишь;погасит;погасите;погасим;погасят;погаси;погасите;;погасив, *погасивши;;погасивший;;погашенный;;
595;3339;B1;"tie (up); bind (up)";завязать I;завязывать;;;;;;несовер.;завязывать/завязать;;;завязываю;завязываешь;завязывает;завязываете;завязываем;завязывают;завязывай;завязывайте;завязывая;;завязывающий;завязывавший;завязываемый;;;
10000;10000;B1;"tie (up); bind (up)";"lier; nouer";завязать;;;;;;совер.;завязывать/завязать;;;завяжу;завяжешь;завяжет;завяжете;завяжем;завяжут;завяжи;завяжите;;завязав, *завязавши;;завязавший;;завязанный;;
596;3340;B1;"blow up; detonate";"faire exploser; faire sauter";взрывать;;;;;;несовер.;взрывать/взорвать;;;взрываю;взрываешь;взрывает;взрываете;взрываем;взрывают;взрывай;взрывайте;взрывая;взрывав;взрывающий;взрывавший;взрываемый;;;
10000;10000;B1;"blow up; detonate";"faire exploser; faire sauter";взорвать;;;;;;совер.;взрывать/взорвать;;;взорву;взорвёшь, взорвешь;взорвёт, взорвет;взорвёте, взорвете;взорвём, взорвем;взорвут;взорви;взорвите;;взорвав, *взорвавши;;взорвавший;;взорванный;;
597;3341;B1;"consult; deliberate";"consulter sur; demander l'avis de sur";советоваться;;;;;;несовер.;советоваться/посоветоваться;возврат.;;советуюсь;советуешься;советуется;советуетесь;советуемся;советуются;советуйся;советуйтесь;советуясь;советовавшись;советующийся;советовавшийся;советующийся;советовавшийся;;
10000;10000;B1;"consult; deliberate";"consulter sur; demander l'avis de sur";посоветоваться;;;;;;совер.;советоваться/посоветоваться;возврат.;;посоветуюсь;посоветуешься;посоветуется;посоветуетесь;посоветуемся;посоветуются;посоветуйся;посоветуйтесь;;посоветовавшись;;посоветовавшийся;;;;
598;3342;B1;"place; arrange";"placer; poser";расставлять;;;;;;несовер.;расставлять/расставить;;;расставляю;расставляешь;расставляет;расставляете;расставляем;расставляют;расставляй;расставляйте;расставляя;расставляв;расставляющий;расставлявший;расставляемый;;;
10000;10000;B1;"place; arrange";"placer; poser";расставить;;;;;;совер.;расставлять/расставить;;;расставлю;расставишь;расставит;расставите;расставим;расставят;расставь;расставьте;;расставив, *расставивши;;расставивший;;расставленный;;
599;3348;B1;"deteriorate; go bad";casser;испортиться;;;;;;совер.;портиться/испортиться;возврат.;;испорчусь;испортишься;испортится;испортитесь;испортимся;испортятся;испортись, испорться;испортитесь, испортьтесь;;испортившись;;испортившийся;;;;
10000;10000;B1;"deteriorate; go bad";"se gâter; s'abîmer";портиться;;;;;;несовер.;портиться/испортиться;возврат.;;порчусь;портишься;портится;портитесь;портимся;портятся;портись, порться;портитесь, портьтесь;портясь;портившись;портящийся;портившийся;портящийся;портившийся;;
600;3349;B1;"become worse; deteriorate";"empirer; aller plus mal";ухудшаться;;;;;;несовер.;ухудшаться/ухудшиться;возврат.;;ухудшаюсь;ухудшаешься;ухудшается;ухудшаетесь;ухудшаемся;ухудшаются;ухудшайся;ухудшайтесь;ухудшаясь;ухудшавшись;ухудшающийся;ухудшавшийся;ухудшающийся;ухудшавшийся;;
10000;10000;B1;"become worse; deteriorate";"empirer; aller plus mal";ухудшиться;;;;;;совер.;ухудшаться/ухудшиться;возврат.;;ухудшусь;ухудшишься;ухудшится;ухудшитесь;ухудшимся;ухудшатся;ухудшись;ухудшитесь;;ухудшившись;;ухудшившийся;;;;
601;3350;B1;"strike; hit";"taper; frapper";ударять;;;;;;несовер.;ударять/ударить;;;ударяю;ударяешь;ударяет;ударяете;ударяем;ударяют;ударяй;ударяйте;ударяя;ударяв;ударяющий;ударявший;ударяемый;;;
10000;10000;B1;"strike; hit";"frapper avec; donner à un coup de";ударить;;;;;;совер.;ударять/ударить;;;ударю;ударишь;ударит;ударите;ударим;ударят;ударь;ударьте;;ударив, *ударивши;;ударивший;;*ударенный;;
602;3352;B1;"cut off; disconnect";"débrancher; mettre hors circuit";отключать;;;;;;несовер.;отключать/отключить;;;отключаю;отключаешь;отключает;отключаете;отключаем;отключают;отключай;отключайте;отключая;отключав;отключающий;отключавший;отключаемый;;;
10000;10000;B1;"cut off; disconnect";"débrancher; mettre hors circuit";отключить;;;;;;совер.;отключать/отключить;;;отключу;отключишь;отключит;отключите;отключим;отключат;отключи;отключите;;отключив, *отключивши;;отключивший;;отключённый;;
603;3354;B1;"smell; scent";"sentir; priser";нюхать;;;;;;несовер.;нюхать/понюхать;;;нюхаю;нюхаешь;нюхает;нюхаете;нюхаем;нюхают;нюхай;нюхайте;нюхая;нюхав;нюхающий;нюхавший;нюхаемый;нюханный;;
10000;10000;B1;"smell; scent";"sentir; priser";понюхать;;;;;;совер.;нюхать/понюхать;;;понюхаю;понюхаешь;понюхает;понюхаете;понюхаем;понюхают;понюхай;понюхайте;;понюхав, *понюхавши;;понюхавший;;;;
604;3355;B1;"guess (right); divine";"deviner; trouver";угадывать;;;;;;несовер.;угадывать/угадать;;;угадываю;угадываешь;угадывает;угадываете;угадываем;угадывают;угадывай;угадывайте;угадывая;угадывав;угадывающий;угадывавший;угадываемый;;;
10000;10000;B1;"guess (right); divine";"deviner; trouver";угадать;;;;;;совер.;угадывать/угадать;;;угадаю;угадаешь;угадает;угадаете;угадаем;угадают;угадай;угадайте;;угадав, *угадавши;;угадавший;;угаданный;;
605;3363;B1;"applaud; cheer";applaudir;аплодировать;;;;;;несовер.;;;действит.;аплодирую;аплодируешь;аплодирует;аплодируете;аплодируем;аплодируют;аплодируй;аплодируйте;аплодируя;аплодировав;аплодирующий;аплодировавший;аплодирующий;аплодировавший;;
606;3364;B1;"freeze; be cold / numb";geler;мерзнуть;;;;;;несовер.;мерзнуть/замерзнуть;;действит.;мёрзну;мёрзнешь;мёрзнет;мёрзнете;мёрзнем;мёрзнут;мёрзни;мёрзните;;мёрзнув;мёрзнущий;мёрзнувший;мёрзнущий;мёрзнувший;;
10000;10000;B1;"freeze; congeal";"se geler; geler";замерзнуть;;;;;;совер.;мерзнуть/замерзнуть;;действит.;;;;;;;;;;;;;;;;
607;3365;B1;measure;"mesurer; jauger";мерить;;;;;;несовер.;мерить/смерить;;;мерю, меряю;меришь, меряешь;мерит, меряет;мерите, меряете;мерим, меряем;мерят, меряют;мерь, меряй;мерьте, меряйте;меряя;мерив;мерящий, меряющий;меривший;;меренный;;
10000;10000;B1;measure;"mesurer; jauger";смерить;;;;;;совер.;мерить/смерить;;;смерю, смеряю;смеришь, смеряешь;смерит, смеряет;смерите, смеряете;смерим, смеряем;смерят, смеряют;смерь, смеряй;смерьте, смеряйте;;смерив, *смеривши;;смеривший;;смеренный;;
608;3366;B1;"to wet; to moisten";"mouiller; humecter";мочить;;;;;;несовер.;;;;мочу;мочишь;мочит;мочите;мочим;мочат;мочи;мочите;моча;мочив;мочащий;мочивший;;моченный;;
609;3371;B1;"dry; air";sécher;сушить;;;;;;несовер.;сушить/высушить;;;сушу;сушишь;сушит;сушите;сушим;сушат;суши;сушите;суша;сушив;сушащий;сушивший;;сушенный;;
10000;10000;B1;"dry; dry out";sécher;высушить;;;;;;совер.;сушить/высушить;;;высушу;высушишь;высушит;высушите;высушим;высушат;высуши;высушите;;высушив, *высушивши;;высушивший;;высушенный;;
610;3372;B1;"weigh; consider";peser;взвешивать;;;;;;несовер.;взвешивать/взвесить;;;взвешиваю;взвешиваешь;взвешивает;взвешиваете;взвешиваем;взвешивают;взвешивай;взвешивайте;взвешивая;взвешивав;взвешивающий;взвешивавший;взвешиваемый;;;
10000;10000;B1;"weigh; consider";peser;взвесить;;;;;;совер.;взвешивать/взвесить;;;взвешу;взвесишь;взвесит;взвесите;взвесим;взвесят;взвесь;взвесьте;;взвесив, *взвесивши;;взвесивший;;взвешенный;;
611;3374;B1;"to sunbathe; to lie in the sun";"se hâler; brunir au soleil";загорать;;;;;;несовер.;загорать/загореть;;действит.;загораю;загораешь;загорает;загораете;загораем;загорают;загорай;загорайте;загорая;загорав;загорающий;загоравший;загорающий;загоравший;;
10000;10000;B1;"to get tanned; to get a (sun)tan";être bruni par le soleil;загореть;;;;;;совер.;загорать/загореть;;действит.;загорю;загоришь;загорит;загорите;загорим;загорят;загори;загорите;;загорев, *загоревши;;загоревший;;;;
612;3378;B1;"turn, roll; rotate";"tourner, pivoter; rouler";вращать;;;;;;несовер.;;;;вращаю;вращаешь;вращает;вращаете;вращаем;вращают;вращай;вращайте;вращая;вращав;вращающий;вращавший;вращаемый;;;
613;3381;B1;"light (up); begin to smoke";"allumer une cigarette; une pipe";закуривать;;;;;;несовер.;закуривать/закурить;;;закуриваю;закуриваешь;закуривает;закуриваете;закуриваем;закуривают;закуривай;закуривайте;закуривая;закуривав;закуривающий;закуривавший;закуриваемый;;;
10000;10000;B1;"light (up); begin to smoke";"allumer une cigarette; une pipe";закурить;;;;;;совер.;закуривать/закурить;;;закурю;закуришь;закурит;закурите;закурим;закурят;закури;закурите;;закурив, *закуривши;;закуривший;;закуренный;;
614;3382;B1;"reward (with); decorate (with)";"récompencer; décorer";награждать;;;;;;несовер.;награждать/наградить;;;награждаю;награждаешь;награждает;награждаете;награждаем;награждают;награждай;награждайте;награждая;награждав;награждающий;награждавший;награждаемый;;;
10000;10000;B1;"reward (with); decorate (with)";"récompencer; décorer";наградить;;;;;;совер.;награждать/наградить;;;награжу;наградишь;наградит;наградите;наградим;наградят;награди;наградите;;наградив, *наградивши;;наградивший;;награждённый;;
615;3385;B1;"prepare (for); make ready (for)";"préparer; apprêter";подготавливать;;;;;;несовер.;подготавливать/подготовить;;;подготавливаю;подготавливаешь;подготавливает;подготавливаете;подготавливаем;подготавливают;подготавливай;подготавливайте;подготавливая;подготавливав;подготавливающий;подготавливавший;подготавливаемый;;;
10000;10000;B1;"prepare (for); make ready (for)";"préparer; apprêter";подготовить;;;;;;совер.;подготавливать/подготовить;;;подготовлю;подготовишь;подготовит;подготовите;подготовим;подготовят;подготовь;подготовьте;;подготовив, *подготовивши;;подготовивший;;подготовленный;;
616;3386;B1;"вспотеть; sweat";"suer; transpirer";потеть;;;;;;несовер.;потеть/вспотеть;;действит.;потею;потеешь;потеет;потеете;потеем;потеют;потей;потейте;потея;потев;потеющий;потевший;потеющий;потевший;;
10000;10000;B1;"sweat; perspire";"transpirer; suer";вспотеть;;;;;;совер.;потеть/вспотеть;;действит.;вспотею;вспотеешь;вспотеет;вспотеете;вспотеем;вспотеют;вспотей;вспотейте;;вспотев, *вспотевши;;вспотевший;;;;
617;3388;B1;programme;programmer;программировать;;;;;;несовер.;программировать/запрограммировать;;;программирую;программируешь;программирует;программируете;программируем;программируют;программируй;программируйте;программируя;программировав;программирующий;программировавший;программируемый;программированный;;
10000;10000;B1;programme;;запрограммировать;;;;;;совер.;программировать/запрограммировать;;;запрограммирую;запрограммируешь;запрограммирует;запрограммируете;запрограммируем;запрограммируют;запрограммируй;запрограммируйте;;запрограммировав, *запрограммировавши;;запрограммировавший;;;;
618;3389;B1;"fasten (to); attach (to)";"fixer; attacher";прикреплять;;;;;;несовер.;прикреплять/прикрепить;;;прикрепляю;прикрепляешь;прикрепляет;прикрепляете;прикрепляем;прикрепляют;прикрепляй;прикрепляйте;прикрепляя;прикрепляв;прикрепляющий;прикреплявший;прикрепляемый;;;
10000;10000;B1;"fasten (to); attach (to)";"fixer; attacher";прикрепить;;;;;;совер.;прикреплять/прикрепить;;;прикреплю;прикрепишь;прикрепит;прикрепите;прикрепим;прикрепят;прикрепи;прикрепите;;прикрепив, *прикрепивши;;прикрепивший;;прикреплённый;;
619;3390;B1;"move; shift";"déplacer; remuer";передвигать;;;;;;несовер.;передвигать/передвинуть;;;передвигаю;передвигаешь;передвигает;передвигаете;передвигаем;передвигают;передвигай;передвигайте;;передвигав;;передвигавший;;;;
10000;10000;B1;"move; shift";"déplacer; remuer";передвинуть;;;;;;совер.;передвигать/передвинуть;;;передвину;передвинешь;передвинет;передвинете;передвинем;передвинут;передвинь;передвиньте;;передвинув, *передвинувши;;передвинувший;;передвинутый;;
620;3391;B1;"be / stay awake; keep awake / vigil";veiller;бодрствовать;;;;;;несовер.;;;действит.;бодрствую;бодрствуешь;бодрствует;бодрствуете;бодрствуем;бодрствуют;бодрствуй;бодрствуйте;бодрствуя;бодрствовав;бодрствующий;бодрствовавший;бодрствующий;бодрствовавший;;
